1	positive	bipolar-disorder	-  ba and, in relation to that, how much emphasis do you place on fame, power, and wealth?
2	positive	bipolar-disorder	A letter I wish I could give to my boyfriend. N
1	positive	bipolar-disorder	All day i am good and be nice with everyone but I don't enjoy because i don't like no body and don't care .
1	positive	bipolar-disorder	All my life I have been chasing happiness. Yet it eludes me. Don't get me wrong, most times I feel genuine happiness and gratitude for what I have in my life. But I feel like my base temperament is more melancholy and anxiety-ridden than most people. I wish I could take that temperament and turn it up towards happiness like a dial. I also feel when I can truly love myself, then will I be able to experience true happiness. 
2	positive	bipolar-disorder	All of my emotions are fading away day by day. I don't feel sad if people get hurt. I don't enjoy it either. I just feel like my compassion is numb.
0	positive	bipolar-disorder	A lot of times, I feel like I am a good person. Well, I am a good person That is until you get on my bad side. I won't physically hurt you, of course not. I choose to take a more manipulative path when someone has displeased me. I am no saint, and often times I feel like the devil in my darkest hours. That's all negativity though; I don't want to be negative I just want to be happy.
1	positive	bipolar-disorder	And I don't try to be. And I never will.
4	positive	bipolar-disorder	And will never be. I make mistakes and learn from it. I disappoint people and make others feel bad but that does not necessarily make me a bad person. I do stupid stuff and enjoy crazy things but that doesn't mean I don't take things seriously. I maybe just like this.. not perfect.. but I am me.
0	positive	bipolar-disorder	angered seeing only in the color red their eyes flicker close. NCAA
0	positive	bipolar-disorder	Another day, again, where I put on the mask of "niceness and trustworthiness" to get people in my back pocket. People are so boring when I don't want something.
0	positive	bipolar-disorder	Any of you ever wonder what it would be like to fall in love like the other people?  I think they're idiots but lately I've been wanting to know how could some emotion move the wise and sane into being such fools?  And why would someone want to actively search for that one person who would turn them into a fool themselves? Don't get me wrong, I'm not against love or whatever, so long as you keep your head.  Just a little curious is all..
0	positive	bipolar-disorder	Anyone can give up, it's the easiest thing in the world to do. But to hold it together when everyone else would understand if you fell apart, that's true strength.
1	positive	bipolar-disorder	Anyone willing to talk on the phone I need to I'm like on the verge of cutting help please
0	positive	bipolar-disorder	Arousal is red Shocking but true.
1	positive	bipolar-disorder	As long as Christ loves me that all the loving I need (:
0	positive	bipolar-disorder	As the holidays near, I am drawn to thinking of my brother who died at the age of 40. I pass a photograph of him every day and, from time to time, stop to look and think about him, his life, the things we did together, the things we will never be able to do together. I miss you bro.
0	positive	bipolar-disorder	Been separated from my wife for almost 16 months now. 
0	positive	bipolar-disorder	But taking my pants off lightens it right up!
1	positive	bipolar-disorder	can soicety please stop judging. im sick of it. nobodys perfect.
0	positive	bipolar-disorder	Counting to 10 isn't working anymore!
0	positive	bipolar-disorder	Definition of TIME!? So Have A Nice Time Always.
0	positive	bipolar-disorder	Do It, I Dare YouDo what ever it takes. Kill me if you have. I want you to but I don't. Just let it all be over. This feeling comes to often. Let me die. No, save me. Kill my pain. Help me. I'm not insane. I can't and you shouldn't. Please don't die on us
4	positive	bipolar-disorder	..Don't we all? Just don't get on people's nerves and you wouldn't have to see the nasty side. 
1	positive	bipolar-disorder	Do you ever feel like you embrace the darkness. I push people away because relationships don't seem worth it anymore. I love the darkness inside me, and the sad thing is I don't want to be happy.
1	positive	bipolar-disorder	Do you know how to prune a rose bush? Very carefully and with gloves on. Me personally don't bother with the gloves. I know how to avoid the thorns.  This is a side you don't see and I don't show. But if you get close, and then decide to tear something apart,,, well lets just say I do have thorns. That is my dark side.
0	positive	bipolar-disorder	Enjoy!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
2	positive	bipolar-disorder	especially when they're obviously not. lol. psychopathy is becoming so romanticised through tv shows and movies this day, obviously Hollywood is creating a false stereotype. it's funny till a point, until you start to see the miserable people thinking that it's cool. i don't really care,
1	positive	bipolar-disorder	Eurgh those days where I just wish I was dead
0	positive	bipolar-disorder	Ever since I've been diagnosed I feel like my symptoms are getting worse I can barely focus at times I can barely be myself around others especially girls due to my fear of rejection and the fact that I've been rejected so many times it's like my brain won't let me be sociable I instantly shut downaround people it's really starting to effect my acting career especially now that I have to network more and more because I'm still on the come up I know treatment is basically my only option but due to financial reasons I have to put that on hold so does anyone have any tips that worked for them or just in general I'm really desperate I just want to start feeling better you know
0	positive	bipolar-disorder	Everybody does.That's why we need to control our dark side so it won't control us doing bad things.
0	positive	bipolar-disorder	Going strong, gives me the motivation to go on with my life.
0	positive	bipolar-disorder	HeyJust wanted to say i may not have ever or will ever meet you all out there but am here if you need a shoulder because you are all beautiful  BLACK OR WHITE you are pretty/handsome and you can only be youIf you need help with anything am here willing to keep all stories private #LOVE NAOMI!!! Hugs and kisses to you all out there never give up you are Smart you are strong you are YOU and don't ever study what people out there got to say about you.. Love always am here.. Enjoy your day..night..morning  KEEP YOU HEAD HELD HIGH!!!
0	positive	bipolar-disorder	Hi all. Im feeling extremly depressed atm and today people have been putting me down and i wish i didnt get so upset when someone sais something negative to me. I feel so out of place . 
0	positive	bipolar-disorder	I am confused.  I am the devil inside.
0	positive	bipolar-disorder	I am the Leviathan. I will use and abuse you for my own gain, and I will do it with a smile. You can't kill me; I will die when the universe tells me to.
2	positive	bipolar-disorder	I couldn't care less  I don't live in your reality.
0	positive	bipolar-disorder	I did it again!  ): i hate life    i need someone to be there for me. I need love.  I wish i was dead   
0	positive	bipolar-disorder	I do art,drawing mostly. I draw dark and evil stuff mostly and it scares everyone because they never see that dude to me.
0	positive	bipolar-disorder	I do , because I've made a lot of mistakes.
2	positive	bipolar-disorder	I don't know what else to do. I keep traveling and shopping. I also don't know how to say no to my family who always needs to borrow money. I owe so much money on my cards. I need help
1	positive	bipolar-disorder	I don't understand how people can find so much joy in making others feel miserable.
0	positive	bipolar-disorder	If anyone is aware of a good historical overview of these conditions? The area of evolutionary psychology may open up some potential explanations as to the purpose for such a mutation of the spirit-because I am of the opinion that nature does not do things without good purpose, and the purpose of sociopathy and psychopathy is perhaps one of the most significant  questions that we currently face.
0	positive	bipolar-disorder	I feel I am a complicated person. I have some things I usually don't share with everyone.
0	positive	bipolar-disorder	I feel like i always  How to keep this going ..any tips that help ?
1	positive	bipolar-disorder	I feel so behind in life all my friends are almost done with school either are engaged or are in a serious relationship have everything going for them
1	positive	bipolar-disorder	If I hate you, hate me back. If I like you, like me back. If I'm nice to you, don't be that guy.
1	positive	bipolar-disorder	If people hate you for no reason It makes u feel better
0	positive	bipolar-disorder	If there is a God, he must be a Sociopath!  If Heaven is so superior and the ultimate paradise realm of purity and beauty, it would make sense for God to simply just let us live there in the first place? Hmmmmmm? Honestly, what's the point of life on Earth, living in this imperfect reality other than to have us all running around like fools or like Rats in a maze looking for the cheese, for the sake of God's Ego, inner Amusement and love for superiority and control? I smell Narcissism! Think about it
1	positive	bipolar-disorder	If u let urself fall then u will never learn how to fly . If you're not happy about yourself then u have to make that change . If someone gets in your way , let me know so I can shoot them 
0	positive	bipolar-disorder	If you really push me to the limits I don't know what I am capable of and that is what is scary
2	positive	bipolar-disorder	I give an innocent impression.but I would not say my side is dark, i would  say you maybe shocked.   You would be happy but shockedlolololshhhh
0	positive	bipolar-disorder	i had a break down today :'( i lost my baby girl 22 days ago and her funeral is on saturday she is still in the hospital morge i think so i went to the hospital today and just had a break down i lost it was screaming for my baby!! i wasnt never able to hold her in my arms and i need to! or just see her again ive only seen her dead and its killing me i need my baby i ned her in my arms to kiss her and tell her itll be ok thats mummys here i just want my baby is that to much to ask :'(
0	positive	bipolar-disorder	I had to get stitches again. Six this time. I cut way to deep; I was just so careless. I can't let this happen anymore.
2	positive	bipolar-disorder	I hate eating breakfast foods in general. No pay meal, eggs, bacon, ham, sausage, cereal, pancakes, waffles, muffins, etcetera. I hate breakfast food.
0	positive	bipolar-disorder	I hate to be lied and in the same way if u lie to me i hate it for sure no matter how much good friend are you but i don't like lie and liars , as i always say the truth i aspect u to be very truthful to me, even the question is of any kind just tell me all the truth i will never mind, even i respect those alot who always say the truth so please be respectful and never lie to me, 
1	positive	bipolar-disorder	I have learnt to accept that I make mistakes and that I can't make everyone happy
1	positive	bipolar-disorder	I have never been cared for, comforted or valued. I don't know how to ask for help. I'm starting to feel that I can no longer handle the repercussions of my upbringing.
1	positive	bipolar-disorder	I just keep reminding myself of this to keep myself going and not dwell in some bitter memories of the past.
0	positive	bipolar-disorder	I just want to die I don't feel like trying anymore. ):
1	positive	bipolar-disorder	I lock my boyfriend in chastity and tease him
0	positive	bipolar-disorder	im far away from that. thanks for reading =)
2	positive	bipolar-disorder	I'm not always full of smilesI have an anxiety disorder. I dread a lot of thingslike my father and school and I just can think so much about things. Overthink and contort things. Luckily most of the time I can feel relieved after my fears don't become reality
0	positive	bipolar-disorder	I'm not overweight it's I just wanna shed a few pounds then I look at my bed and couch, and it all looks so inviting, so I lay back down and enjoy my sleep :3
0	positive	bipolar-disorder	Imperfection is my forte!! I  IT!! Wouldn't have it any other waythank U God, 4 not 4getting any of my body parts!!!
0	positive	bipolar-disorder	i'm surrounded by ghosts  a ghost myself
