-19	negative	bipolar-disorder	1 year and 2 months ago. It still feels like yesterday I guess time goes by fast. Next month would have been our fifth anniversary. He was my soulmate, THE ONE, my other half. He was my everything. And he died from an unknown reason. In aug 2012 he just collapsed and died, at 29 years old. No one knows why. I think about him every single day and I cry over him every single day. I am heart-broken, depressed and empty inside and it feels like I'm not actually living anymore. Like I'm just a body A zombie. The daily happiness, the joy, the bliss, the love I felt when I was with him is all gone. Now all that is left is the daily torture of knowing that I will never EVER see him again, I will never hear his voice again, I will never be able to hug him, nor kiss him, nor hold his hand. I love and miss him more than words can describe and I can't believe that I will live the rest of my life without him. My heart is aching every day - the torture is unbearable
-4	negative	bipolar-disorder	2nd Appointment. I sat there wondering if she realized that I'd beaten eight levels in Candy Crush since the hour started.
-11	negative	bipolar-disorder	2 years of being best friends completely wasted. I said a joke and she took it seriously. I tried explaining to her that it was a joke but she didn't care. She got really mean and I guess I didn't really know her. I changed and she didn't like the new me. I miss her a lot and I know if I apologize she will be really mean and defensive. I even swore on my life that i didnt mean what i said. I was bawling and cried for about 2 hours, and im pretty sure she didnt even shed a tear. I want to apologize but i know i shouldnt and even if i would she wouldnt care. What do I do?
-7	negative	bipolar-disorder	4 days after we met we were living together and within 3 months we were engaged. He was the love of my life, my soul mate and I knew from the moment I met him that I wanted to grow old with him.
-3	negative	bipolar-disorder	A battle raging on inside my head. Life starts to look so dead. Every building like a body on the field. Every door like a fallen bloody shield. Boom! The smell of cannon fire. Boom! The loss of all desire. Something inside of me; Kills everyone around. Though they cannot see, Because intent never makes a sound. Its over, done, and through; But everything Ive ever said is true. Weve all got a little demon, Theres even one inside of you.
-1	negative	bipolar-disorder	Absolutely! This is why there are serial killers
-4	negative	bipolar-disorder	A forty year friendship is something I cherish, and living this far away from him gets a bit much at times.   I'm just glad we talk every week.  If we didn't, I think i'd lose it.
-1	negative	bipolar-disorder	After 55 years I gave up smoking on September 15th 2010
-1	negative	bipolar-disorder	After three joints a day for about three months, I noticed how I was constantly effected by the THC.  
-2	negative	bipolar-disorder	A letter to myself. For now I guess photoshop will have to due.
-1	negative	bipolar-disorder	All gypsies are from Romania right?
-1	negative	bipolar-disorder	All my life i've been keeping my anger in for a long time and when people talk bad about me i shake it off but i still feel it in me im feeling more an more angry and it scares me to think what i might do i get thoughts of hurting  the people close to me like i hate anger i hate pain but when i hate more anger comes
-6	negative	bipolar-disorder	All Of My Issues(Part One)- First up is my paranoia: absolutely everything adds to my paranoia and makes it worse. Even the most irrational and stupid things. I'm constantly looking over my shoulder and holding my neck in my sleep. But the weird thing is, it's the things I love that make me paranoid. Things like gore and thoughts of people and what can be done to them. I make myself paranoid. I guess I'm just a hypocrite. I love these things being done to people, but I wouldn't want it to happen to me. Anyways, that's as far as in going into that.
-1	negative	bipolar-disorder	A lot of things I should've done in regards to having a career vs. a job.  Oh well, can only keep pushing on.
-3	negative	bipolar-disorder	Alright so I have a dark side. I love odd things. Seriously, I'm wearing a ouija board sweatshirt right now. I can't get talking about this because I'll go on and on!
